Property Name,Rent,Management Fee,Deposit,Key Money,Floor Plan,Area Size,Direction,Building Age,Address,Station Info,Agency Name,Agency Phone,Property URL
パークアクシス神田レジデンス 703号室,27.4万円,管理費 15000円,敷27.4万円,礼-,2LDK,44.66m2,南,,,"
東京メトロ丸ノ内線/淡路町駅 歩4分
ＪＲ山手線/神田駅 歩8分
ＪＲ京浜東北線/神田駅 歩8分
",,いい部屋ネット大東建託リーシング(株)北千住駅前店,https://suumo.jp/chintai/bc_100400224783/
ＪＲ山手線 神田駅 地下1地上12階建 築5年,28万円,管理費 15000円,敷28万円,礼-,2LDK,50.03m2,南,,,"
ＪＲ山手線/神田駅 歩3分
東京メトロ丸ノ内線/淡路町駅 歩3分
東京メトロ東西線/大手町駅 歩10分
",,ファストリビング麹町本店(株)ファスト不動産,https://suumo.jp/chintai/bc_100377555914/
東京メトロ銀座線 神田駅 15階建 築2年,25.5万円,管理費 20000円,敷25.5万円,礼-,2LDK,45.57m2,南,,,"
東京メトロ銀座線/神田駅 歩3分
ＪＲ山手線/秋葉原駅 歩5分
東京メトロ丸ノ内線/淡路町駅 歩5分
",,ファストリビング麹町本店(株)ファスト不動産,https://suumo.jp/chintai/bc_100395439532/
ＪＲ山手線 秋葉原駅 15階建 築2年,23万円,管理費 20000円,敷23万円,礼-,2LDK,45.57m2,南,,,"
ＪＲ山手線/秋葉原駅 歩5分
ＪＲ山手線/神田駅 歩6分
都営新宿線/岩本町駅 歩6分
",,(株)FUNNY LOCO,https://suumo.jp/chintai/bc_100399523779/
クラッシィハウス大手町,32万円,管理費 15000円,敷32万円,礼32万円,2LDK,54.13m2,東,,,"
東京メトロ東西線/大手町駅 歩4分
ＪＲ山手線/神田駅 歩8分
東京メトロ丸ノ内線/淡路町駅 歩9分
",,ソレイユ神田店 (株)ソレイユ,https://suumo.jp/chintai/bc_100400175170/
クラッシィハウス大手町,32万円,管理費 15000円,敷32万円,礼32万円,2LDK,54.13m2,東,,,"
東京メトロ東西線/大手町駅 歩4分
ＪＲ山手線/神田駅 歩8分
東京メトロ丸ノ内線/淡路町駅 歩9分
",,アエラス御茶ノ水店 (株)アエラス,https://suumo.jp/chintai/bc_100400181548/
フェリス松本九段,8.7万円,管理費 8000円,敷8.7万円,礼-,ワンルーム,26.09m2,東,,,"
ＪＲ総武線/市ケ谷駅 歩9分
東京メトロ有楽町線/市ケ谷駅 歩6分
都営新宿線/市ケ谷駅 歩6分
",,いい部屋ネット大東建託リーシング(株)新宿店,https://suumo.jp/chintai/bc_100400786751/
ＪＲ総武線 市ケ谷駅 7階建 築38年,8.7万円,管理費 8000円,敷8.7万円,礼-,ワンルーム,26.09m2,-,,,"
ＪＲ総武線/市ケ谷駅 歩9分
東京メトロ半蔵門線/半蔵門駅 歩11分
東京メトロ有楽町線/麹町駅 歩14分
",,(株)東京めぞん,https://suumo.jp/chintai/bc_100400804027/
パークアクシス神保町 502号室,30.6万円,管理費 15000円,敷30.6万円,礼-,2LDK,52.2m2,南西,,,"
東京メトロ半蔵門線/神保町駅 歩4分
ＪＲ中央線/水道橋駅 歩9分
ＪＲ総武線/御茶ノ水駅 歩10分
",,いい部屋ネット大東建託リーシング(株)北千住駅前店,https://suumo.jp/chintai/bc_100400224819/
都営新宿線 神保町駅 14階建 新築,31.1万円,管理費 15000円,敷31.1万円,礼-,2LDK,52.2m2,南西,,,"
都営新宿線/神保町駅 歩4分
ＪＲ中央線/水道橋駅 歩6分
東京メトロ半蔵門線/九段下駅 歩9分
",,御茶ノ水不動産スーペリアホーム スーペリアス(株),https://suumo.jp/chintai/bc_100400536871/
ブランズ九段北,49万円,管理費 30000円,敷98万円,礼98万円,2LDK,70.8m2,西,,,"
ＪＲ総武線/市ケ谷駅 歩3分
ＪＲ総武線/飯田橋駅 歩13分
都営大江戸線/牛込神楽坂駅 歩15分
",,(株)プライムコーポレーション都心営業部,https://suumo.jp/chintai/bc_100400768897/
ブランズ九段北 901号室,49万円,管理費 30000円,敷98万円,礼98万円,2LDK,70.8m2,-,,,"
都営新宿線/市ケ谷駅 歩3分
東京メトロ半蔵門線/半蔵門駅 歩11分
東京メトロ有楽町線/麹町駅 歩12分
",,神宮前不動産(株),https://suumo.jp/chintai/bc_100400786090/
東京メトロ丸ノ内線 淡路町駅 13階建 築3年,23.7万円,管理費 20000円,敷23.7万円,礼-,2LDK,40.08m2,南,,,"
東京メトロ丸ノ内線/淡路町駅 歩3分
東京メトロ千代田線/大手町駅 歩9分
東京メトロ銀座線/神田駅 歩7分
",,御茶ノ水不動産スーペリアホーム スーペリアス(株),https://suumo.jp/chintai/bc_100399449231/
東京メトロ半蔵門線 神保町駅 9階建 築9年,25.4万円,管理費 10000円,敷25.4万円,礼25.4万円,2LDK,56.4m2,-,,,"
東京メトロ半蔵門線/神保町駅 歩5分
ＪＲ総武線/水道橋駅 歩7分
ＪＲ中央線/御茶ノ水駅 歩9分
",,(株)東京めぞん,https://suumo.jp/chintai/bc_100400540151/
東京メトロ半蔵門線 神保町駅 9階建 築9年,25.8万円,管理費 10000円,敷25.8万円,礼25.8万円,2LDK,56.4m2,-,,,"
東京メトロ半蔵門線/神保町駅 歩5分
ＪＲ総武線/水道橋駅 歩7分
ＪＲ中央線/御茶ノ水駅 歩9分
",,(株)東京めぞん,https://suumo.jp/chintai/bc_100400540149/
TK猿楽町レジデンス,26万円,管理費 10000円,敷26万円,礼26万円,2LDK,56.4m2,北東,,,"
東京メトロ半蔵門線/神保町駅 歩5分
ＪＲ総武線/御茶ノ水駅 歩9分
ＪＲ中央線/水道橋駅 歩7分
",,ソレイユ神田店 (株)ソレイユ,https://suumo.jp/chintai/bc_100399957755/
TK猿楽町レジデンス,26万円,管理費 10000円,敷26万円,礼26万円,2LDK,56.4m2,北東,,,"
東京メトロ半蔵門線/神保町駅 歩5分
ＪＲ総武線/御茶ノ水駅 歩9分
ＪＲ中央線/水道橋駅 歩7分
",,アエラス目白店 (株)アエラス.ER,https://suumo.jp/chintai/bc_100400483222/
TK猿楽町レジデンス,26万円,管理費 10000円,敷26万円,礼26万円,2LDK,56.4m2,北東,,,"
東京メトロ半蔵門線/神保町駅 歩5分
ＪＲ総武線/御茶ノ水駅 歩9分
ＪＲ中央線/水道橋駅 歩7分
",,アエラス御茶ノ水店 (株)アエラス,https://suumo.jp/chintai/bc_100400131130/
TK猿楽町レジデンス,26万円,管理費 10000円,敷26万円,礼26万円,2LDK,56.4m2,北東,,,"
東京メトロ半蔵門線/神保町駅 歩5分
ＪＲ総武線/御茶ノ水駅 歩9分
ＪＲ中央線/水道橋駅 歩7分
",,アエラス新橋店 (株)アエラス.ER,https://suumo.jp/chintai/bc_100400312192/
パークコート千代田四番町,42万円,管理費 -,敷42万円,礼42万円,2LDK,55.77m2,北西,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ中央線/四ツ谷駅 歩5分
都営新宿線/市ケ谷駅 歩6分
",,アエラス新橋店 (株)アエラス.ER,https://suumo.jp/chintai/bc_100400482828/
パークコート千代田四番町,42万円,管理費 -,敷42万円,礼42万円,2LDK,55.77m2,北西,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ中央線/四ツ谷駅 歩5分
都営新宿線/市ケ谷駅 歩6分
",,アエラス御茶ノ水店 (株)アエラス,https://suumo.jp/chintai/bc_100400313140/
パークコート千代田四番町,42万円,管理費 -,敷42万円,礼42万円,2LDK,55.77m2,-,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ中央線/市ケ谷駅 歩5分
東京メトロ半蔵門線/半蔵門駅 歩9分
",,そらうみリアルエステート(株)本店,https://suumo.jp/chintai/bc_100400206544/
パークコート千代田四番町,42万円,管理費 -,敷42万円,礼42万円,2LDK,55.77m2,-,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ中央線/市ケ谷駅 歩5分
東京メトロ半蔵門線/半蔵門駅 歩9分
",,(株)ユウキ・ホーム麻布十番網代公園店,https://suumo.jp/chintai/bc_100400206273/
パークコート千代田四番町,42万円,管理費 -,敷42万円,礼42万円,2LDK,55.77m2,-,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ中央線/市ケ谷駅 歩5分
東京メトロ半蔵門線/半蔵門駅 歩9分
",,そらうみリアルエステート(株)賃貸事業本部,https://suumo.jp/chintai/bc_100400206828/
パークコート千代田四番町,42万円,管理費 -,敷42万円,礼42万円,2LDK,55.77m2,-,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ中央線/市ケ谷駅 歩5分
東京メトロ半蔵門線/半蔵門駅 歩9分
",,(株)ユウキ・ホーム麻布十番店,https://suumo.jp/chintai/bc_100400206118/
パークコート千代田四番町,42万円,管理費 -,敷42万円,礼42万円,2LDK,55.77m2,-,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ中央線/市ケ谷駅 歩5分
東京メトロ半蔵門線/半蔵門駅 歩9分
",,(株)ユウキ・ホーム麻布十番サテライト店,https://suumo.jp/chintai/bc_100400205837/
都営三田線 神保町駅 12階建 築28年,23.8万円,管理費 15000円,敷23.8万円,礼-,2LDK,60.8m2,西,,,"
都営三田線/神保町駅 歩4分
ＪＲ中央線/御茶ノ水駅 歩7分
都営三田線/水道橋駅 歩12分
",,(株)ルーム,https://suumo.jp/chintai/bc_100400793572/
都営三田線 神保町駅 12階建 築28年,24万円,管理費 15000円,敷24万円,礼-,2LDK,60.8m2,西,,,"
都営三田線/神保町駅 歩4分
ＪＲ中央線/御茶ノ水駅 歩7分
都営三田線/水道橋駅 歩12分
",,(株)ルーム,https://suumo.jp/chintai/bc_100376679960/
Belle　Vue千代田飯田橋,33.3万円,管理費 15000円,敷33.3万円,礼-,2LDK,56.14m2,南,,,"
東京メトロ有楽町線/飯田橋駅 歩5分
東京メトロ東西線/九段下駅 歩7分
ＪＲ中央線/水道橋駅 歩10分
",,(株)エイブル飯田橋店,https://suumo.jp/chintai/bc_100400730964/
ブランズ九段北 901号室,49万円,管理費 30000円,敷98万円,礼98万円,2LDK,70.8m2,北,,,"
ＪＲ中央線/市ケ谷駅 歩3分
東京メトロ半蔵門線/半蔵門駅 歩11分
東京メトロ有楽町線/麹町駅 歩12分
",,グランデ新宿店 (株)グランデ,https://suumo.jp/chintai/bc_100400526175/
ブランズ九段北 901号室,49万円,管理費 30000円,敷98万円,礼98万円,2LDK,70.8m2,北,,,"
ＪＲ中央線/市ケ谷駅 歩3分
東京メトロ半蔵門線/半蔵門駅 歩11分
東京メトロ有楽町線/麹町駅 歩12分
",,グランデ日本橋店 (株)グランデ,https://suumo.jp/chintai/bc_100400526078/
ブランズ九段北 901号室,49万円,管理費 30000円,敷98万円,礼98万円,2LDK,70.8m2,北,,,"
ＪＲ中央線/市ケ谷駅 歩3分
東京メトロ半蔵門線/半蔵門駅 歩11分
東京メトロ有楽町線/麹町駅 歩12分
",,グランデ池袋店 (株)グランデ,https://suumo.jp/chintai/bc_100400524315/
ブランズ九段北 901号室,49万円,管理費 30000円,敷98万円,礼98万円,2LDK,70.8m2,北,,,"
都営新宿線/市ケ谷駅 歩3分
東京メトロ半蔵門線/半蔵門駅 歩11分
都営大江戸線/牛込神楽坂駅 歩17分
",,いい部屋ネット大東建託リーシング(株)池袋東口店,https://suumo.jp/chintai/bc_100400532463/
東京メトロ有楽町線 市ケ谷駅 10階建 築10年,49万円,管理費 30000円,敷98万円,礼98万円,2LDK,70.8m2,北西,,,"
東京メトロ有楽町線/市ケ谷駅 歩3分
東京メトロ半蔵門線/半蔵門駅 歩10分
ＪＲ中央線/飯田橋駅 歩13分
",,御茶ノ水不動産スーペリアホーム スーペリアス(株),https://suumo.jp/chintai/bc_100400639587/
ブランズ九段北,49万円,管理費 30000円,敷98万円,礼98万円,2LDK,70.8m2,北,,,"
都営新宿線/市ケ谷駅 歩3分
東京メトロ半蔵門線/半蔵門駅 歩11分
都営大江戸線/牛込神楽坂駅 歩17分
",,いい部屋ネット大東建託リーシング(株)新宿店,https://suumo.jp/chintai/bc_100400481703/
ブランズ九段北 901号室,49万円,管理費 30000円,敷98万円,礼98万円,2LDK,70.8m2,北,,,"
都営新宿線/市ケ谷駅 歩3分
東京メトロ半蔵門線/半蔵門駅 歩11分
都営大江戸線/牛込神楽坂駅 歩17分
",,いい部屋ネット大東建託リーシング(株)北千住駅前店,https://suumo.jp/chintai/bc_100400663527/
ブランズ九段北 901号室,49万円,管理費 30000円,敷98万円,礼98万円,2LDK,70.8m2,北,,,"
都営新宿線/市ケ谷駅 歩3分
東京メトロ半蔵門線/半蔵門駅 歩11分
都営大江戸線/牛込神楽坂駅 歩17分
",,いい部屋ネット大東建託リーシング(株)亀戸店,https://suumo.jp/chintai/bc_100400526194/
ライオンズフォーシア神田須田町,25.5万円,管理費 20000円,敷25.5万円,礼-,2LDK,45.57m2,南,,,"
ＪＲ山手線/秋葉原駅 歩5分
都営新宿線/岩本町駅 歩6分
東京メトロ丸ノ内線/淡路町駅 歩7分
",,いい部屋ネット大東建託リーシング(株)北千住駅前店,https://suumo.jp/chintai/bc_100400357261/
ウェリスタワー千代田岩本町,28万円,管理費 20000円,敷28万円,礼28万円,2LDK,55.4m2,北東,,,"
東京メトロ日比谷線/小伝馬町駅 歩2分
ＪＲ山手線/神田駅 歩7分
ＪＲ山手線/秋葉原駅 歩14分
",,アエラス新橋店 (株)アエラス.ER,https://suumo.jp/chintai/bc_100400312186/
ウェリスタワー千代田岩本町,28万円,管理費 20000円,敷28万円,礼28万円,2LDK,55.4m2,北東,,,"
東京メトロ日比谷線/小伝馬町駅 歩2分
ＪＲ山手線/神田駅 歩7分
ＪＲ山手線/秋葉原駅 歩14分
",,ソレイユ神田店 (株)ソレイユ,https://suumo.jp/chintai/bc_100400309794/
ウェリスタワー千代田岩本町,28万円,管理費 20000円,敷28万円,礼28万円,2LDK,55.4m2,北東,,,"
東京メトロ日比谷線/小伝馬町駅 歩2分
ＪＲ山手線/神田駅 歩7分
ＪＲ山手線/秋葉原駅 歩14分
",,アエラス御茶ノ水店 (株)アエラス,https://suumo.jp/chintai/bc_100400131126/
パークハウス・ジオ六番町 201号室,82万円,管理費 30000円,敷82万円,礼82万円,2LDK,115.01m2,南東,,,"
ＪＲ中央線/四ツ谷駅 歩4分
東京メトロ有楽町線/麹町駅 歩6分
東京メトロ南北線/市ケ谷駅 歩9分
",,(株)Airy Home,https://suumo.jp/chintai/bc_100400783768/
パークハウス・ジオ六番町,82万円,管理費 30000円,敷82万円,礼82万円,2LDK,115.01m2,北東,,,"
ＪＲ中央線/四ツ谷駅 歩4分
東京メトロ有楽町線/麹町駅 歩8分
ＪＲ中央線/市ケ谷駅 歩12分
",,(株)タウンハウジング東京 秋葉原店,https://suumo.jp/chintai/bc_100395478203/
ＪＲ中央線 飯田橋駅 8階建 築17年,40.5万円,管理費 15000円,敷40.5万円,礼40.5万円,2LDK,78.13m2,北西,,,"
ＪＲ中央線/飯田橋駅 歩5分
東京メトロ半蔵門線/九段下駅 歩8分
ＪＲ中央線/水道橋駅 歩12分
",,(株)タウンハウジング東京 赤坂店,https://suumo.jp/chintai/bc_100400806101/
ミレニアムガーデンコート 1306号室,70万円,管理費 -,敷70万円,礼-,2LDK,90.24m2,南西,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ総武線/四ツ谷駅 歩6分

",,(株)Airy Home,https://suumo.jp/chintai/bc_100400783802/
ミレニアムガーデンコート,70万円,管理費 -,敷70万円,礼-,2LDK,90.24m2,南西,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ総武線/四ツ谷駅 歩6分

",,リブマックス高田馬場店(株)リブマックスリーシング,https://suumo.jp/chintai/bc_100400834794/
東京メトロ有楽町線 麹町駅 17階建 築25年,70万円,管理費 -,敷70万円,礼-,2LDK,90.24m2,南西,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ総武線/四ツ谷駅 歩6分

",,リブマックス新宿店(株)リブ・マックス,https://suumo.jp/chintai/bc_100400835024/
ミレニアムガーデンコート,70万円,管理費 -,敷70万円,礼-,2LDK,90.24m2,南西,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ総武線/四ツ谷駅 歩6分

",,リブマックス飯田橋店(株)リブマックスリーシング,https://suumo.jp/chintai/bc_100400821571/
ミレニアムガーデンコート,70万円,管理費 -,敷70万円,礼-,2LDK,90.24m2,南西,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ総武線/四ツ谷駅 歩6分

",,リブマックス日本橋茅場町店(株)リブマックスリーシング,https://suumo.jp/chintai/bc_100400836403/
ミレニアムガーデンコート,70万円,管理費 -,敷70万円,礼-,2LDK,90.24m2,南西,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ総武線/四ツ谷駅 歩6分

",,リブマックス六本木店(株)リブ・マックス,https://suumo.jp/chintai/bc_100400835134/
ミレニアムガーデンコート,70万円,管理費 -,敷70万円,礼-,2LDK,90.24m2,南西,,,"
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ総武線/四ツ谷駅 歩6分

",,リブマックス品川駅前店(株)リブマックスリーシング,https://suumo.jp/chintai/bc_100400834093/
都営新宿線 岩本町駅 地下1地上14階建 築11年,13万円,管理費 15000円,敷13万円,礼-,1LDK,30.04m2,北,,,"
都営新宿線/岩本町駅 歩4分
東京メトロ日比谷線/小伝馬町駅 歩5分
ＪＲ山手線/神田駅 歩8分
",,(株)AX8小川町店,https://suumo.jp/chintai/bc_100400818136/
ベラージュおとわ,34万円,管理費 -,敷34万円,礼34万円,2LDK,86.17m2,南,,,"
東京メトロ半蔵門線/神保町駅 歩3分
ＪＲ総武線/御茶ノ水駅 歩8分
東京メトロ東西線/竹橋駅 歩12分
",,いい部屋ネット大東建託リーシング(株)北千住駅前店,https://suumo.jp/chintai/bc_100400663533/
レジディア神田岩本町II,16万円,管理費 10000円,敷-,礼-,2K,37.26m2,南,,,"
ＪＲ山手線/秋葉原駅 歩4分
都営新宿線/岩本町駅 歩3分
ＪＲ中央線/神田駅 歩8分
",,みんなのへや人形町駅前店(株)Lotus Link,https://suumo.jp/chintai/bc_100400813924/
レジディア神田岩本町II,16万円,管理費 10000円,敷-,礼-,2K,37.26m2,南,,,"
ＪＲ山手線/秋葉原駅 歩4分
東京メトロ日比谷線/小伝馬町駅 歩5分
ＪＲ総武線快速/馬喰町駅 歩8分
",,みんなのへや新橋店(株)Lotus Link,https://suumo.jp/chintai/bc_100400810082/
レジディア神田岩本町II,16万円,管理費 10000円,敷-,礼-,2K,37.26m2,南,,,"
ＪＲ山手線/秋葉原駅 歩4分
東京メトロ日比谷線/小伝馬町駅 歩5分
ＪＲ総武線快速/馬喰町駅 歩8分
",,みんなのへや八丁堀駅前店(株)Lotus Link,https://suumo.jp/chintai/bc_100400811820/
シュトラーレ四番町 301号室,28.9万円,管理費 4400円,敷-,礼28.9万円,2LDK,59.01m2,-,,,"
ＪＲ中央線/市ケ谷駅 歩6分
東京メトロ半蔵門線/半蔵門駅 歩10分
東京メトロ有楽町線/麹町駅 歩12分
",,MINATO STYLE 銀座新橋店(株)3B ARROWS,https://suumo.jp/chintai/bc_100400776343/
シュトラーレ四番町,28.9万円,管理費 4400円,敷-,礼28.9万円,2LDK,59.01m2,-,,,"
ＪＲ中央線/市ケ谷駅 歩6分
東京メトロ半蔵門線/半蔵門駅 歩10分
東京メトロ有楽町線/麹町駅 歩12分
",,MINATO STYLE (株)3B ARROWS,https://suumo.jp/chintai/bc_100400776643/
シュトラーレ四番町 301号室,28.9万円,管理費 4400円,敷-,礼28.9万円,2LDK,59.01m2,-,,,"
ＪＲ中央線/市ケ谷駅 歩6分
東京メトロ半蔵門線/半蔵門駅 歩10分
東京メトロ有楽町線/麹町駅 歩12分
",,MINATO STYLE 上野店(株)3B ARROWS,https://suumo.jp/chintai/bc_100400776501/
シュトラーレ四番町 301号室,28.9万円,管理費 4400円,敷-,礼28.9万円,2LDK,59.01m2,-,,,"
ＪＲ中央線/市ケ谷駅 歩6分
東京メトロ半蔵門線/半蔵門駅 歩10分
東京メトロ有楽町線/麹町駅 歩12分
",,(株)3B ARROWSMINATOSTYLE 渋谷店,https://suumo.jp/chintai/bc_100400776775/
東京メトロ南北線 飯田橋駅 24階建 築4年,43万円,管理費 20000円,敷86万円,礼43万円,2LDK,64m2,北東,,,"
東京メトロ南北線/飯田橋駅 歩2分
ＪＲ総武線/飯田橋駅 歩3分
東京メトロ有楽町線/飯田橋駅 歩2分
",,城都不動産(株),https://suumo.jp/chintai/bc_100400750434/
アーバネックス千代田淡路町,23.7万円,管理費 20000円,敷23.7万円,礼-,2LDK,40.08m2,南,,,"
都営新宿線/小川町駅 歩1分
ＪＲ山手線/神田駅 歩10分
ＪＲ中央線/神田駅 歩10分
",,(株)ケン・コーポレーション飯田橋支店,https://suumo.jp/chintai/bc_100399038239/
都営新宿線 小川町駅 13階建 築3年,23.7万円,管理費 20000円,敷23.7万円,礼-,2LDK,40.08m2,南,,,"
都営新宿線/小川町駅 歩1分
ＪＲ山手線/神田駅 歩10分
ＪＲ中央線/神田駅 歩10分
",,ハウスコム東東京(株)押上店,https://suumo.jp/chintai/bc_100400733262/
パークコート千代田四番町,42万円,管理費 -,敷42万円,礼42万円,2LDK,55.77m2,北西,,,"
ＪＲ中央線/市ケ谷駅 歩5分
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ中央線/四ツ谷駅 歩8分
",,グランデ新宿店 (株)グランデ,https://suumo.jp/chintai/bc_100400180376/
パークコート千代田四番町,42万円,管理費 -,敷42万円,礼42万円,2LDK,55.77m2,北西,,,"
ＪＲ中央線/市ケ谷駅 歩5分
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ中央線/四ツ谷駅 歩8分
",,グランデ日本橋店 (株)グランデ,https://suumo.jp/chintai/bc_100400179070/
パークコート千代田四番町,42万円,管理費 -,敷42万円,礼42万円,2LDK,55.77m2,北西,,,"
ＪＲ中央線/市ケ谷駅 歩5分
東京メトロ有楽町線/麹町駅 歩4分
ＪＲ中央線/四ツ谷駅 歩8分
",,グランデ池袋店 (株)グランデ,https://suumo.jp/chintai/bc_100400177916/
パークコート千代田四番町,42万円,管理費 -,敷42万円,礼42万円,2LDK,55.77m2,北西,,,"
ＪＲ中央線/市ケ谷駅 歩5分
東京メトロ有楽町線/麹町駅 歩4分
東京メトロ半蔵門線/半蔵門駅 歩9分
",,いい部屋ネット大東建託リーシング(株)新宿店,https://suumo.jp/chintai/bc_100400148686/
シルヴァー　アウル,16万円,管理費 10000円,敷16万円,礼16万円,1LDK,42.04m2,南西,,,"
都営新宿線/岩本町駅 歩4分
ＪＲ総武線快速/馬喰町駅 歩7分
都営浅草線/浅草橋駅 歩10分
",,みんなのへや新橋店(株)Lotus Link,https://suumo.jp/chintai/bc_100400810118/
シルヴァー　アウル,16万円,管理費 10000円,敷16万円,礼16万円,1LDK,42.04m2,南西,,,"
都営新宿線/岩本町駅 歩4分
東京メトロ日比谷線/秋葉原駅 歩6分
ＪＲ山手線/神田駅 歩10分
",,みんなのへや人形町駅前店(株)Lotus Link,https://suumo.jp/chintai/bc_100400813936/
